# htr=halvtransitiv
# durativ = perfektiv, ad->int

AASIINNGOOQ	<eo:lauxdire/part:som_vanlig_siges_det>
GUMAGUNNAAR	<eo:ju_neplu_emas/vil_ikke_mere>
GUMAGUNNAARTIP	<eo:neplu_emigi/få_til_at_ikke_ville_mere>
GUMALIR	<eo:ekemas/begynder_at_ville>
GUMALLAARE	<eo:emas/vil_narrativ>
GUMANNGIKKALUAR	<eo:ja_malemas/vil_ellers_ikke>
GUMANNGISAANNAR	<eo:neniam_emas/vil_aldrig>
GUMANNGISAANNASSA	<eo:neniam_emos/vil_aldrig_i_fremtiden>
GUMANNGIT	<eo:malemas/vil_ikke>
GUMASAR	<eo:igemas/plejer_at_ville/agentativ_vil> 
GUMASSA	<eo:emos/vil_i_fremtiden>
GUMASSANIR	<eo:cxu_emos/vil_mon_i_fremtiden> 
GUMASSANNGINNIR	<eo:cxu_malemos/vil_mon_ikke_i_fremtiden>
GUMASSANNGIT	<eo:maldevos/vil_ikke_skulle>
GUNAR	<eo:certe/vist_nok>
GUNNAALIR	<eo:ekmalekas/begynder_at_holde_op>
GUNNAAR	<eo:malekas/holder_op>
GUNNAARIIR	<eo:jam_malekis/er_allerede_holdt_op> 
GUNNAARINNAR	<eo:malekis/er_bare_holdt_op> 
GUNNAARSIKKUMA	<eo:malekigos/vil_få_til_at_holde_op> 
GUNNAARSIMA	<eo:malekintas/holdt_op+durativ> 
GUNNAARSIMANNGIT	<eo:ne_malekintas/er_ikke_holdt_op+durativ> 
GUNNAARSIMASSA	<eo:malekintos/skal_være_holdt_op+durativ/må_være_holdt_op> 
GUNNAARSIMASSAGALUAR	<eo:jo_malekintos/burde_ellers_have_været_holdt_op> 
GUNNAARTINNIAR	<eo:intencas_malekigi/agter_at_få_til_at_holde_op> 
GUNNAARTIP	<eo:malekigas/får_til_at_holde_op> 
GUNNAARTISSA	<eo:malekigos/skal_få_til_at_holde_op> 
GUNNAARTISSINNAA	<eo:povas_malekigi/kan_få_til_at_holde_op> 
GUNNAASSA	<eo:malekos/skal_holde_op> 
GUNNAAVISSA	<eo:malekigos/skal_få_til_at_holde_helt_op> 
GUNNAIR	<eo:certe/vist_nok> 
GUSUKKALUAR	<eo:jo_emas/har_ellers_lyst> 
GUSUNNGIT	<eo:malemas/har_ikke_lyst> 
GUSUP	<eo:emas/har_lyst> 
GUSUSSINNAA	<eo:eble_emas/kan_have_lyst> 
HTR	<eo:malla-as/htr> 
IAA	<eo:malla-senigas/fjerner+htr> 
IAR	<eo:senigas/fjerner> 
INNALIR	<eo:nur_ekas/bare+inchoativ> 
INNAQ	<eo:nura/en_simpel_én> 
INNAR	<eo:nur/kun> 
INNARNIAR	<eo:emas_nur/agter_kun> 
INNARSIMA	<eo:nur_adas/kun+durativ> 
INNARSINNAA	<eo:povas_nur/kan_kun> 
INNARTAR	<eo:kutimas_nur/plejer_kun> 
INNARTARIAQAR	<eo:devas_nur/er_nødt_til_kun> 
INNASSA	<eo:os_nur/skal_kun> 
IP	<eo:tie-estas/at_være_lokalt> 
#IQATIGE	<> 
IR	<eo:senigi/-fjernende>
IRUP	<eo:ne_plu_havas/har_ikke_mere> 
JA	<eo:ema/tilbøjelig_til> 
KAAP	<eo:al-portas/bringer_noget_til> 
KAR	<eo:al-igxas/bevæger_sig_til> 
KKUT	<eo:kune/sammen>
KKUUTAAR	<i_grupper_af>
LAAR	<eo:iomete/lidt>
LAARALLAR	<eo:provizore_iomete/foreløbig_lidt> 
LAARALLARNIAR	<agter_foreløbig_lidt> 
LAARIAR	<eo:kutimas_iomete/plejer_lidt> 
LAARIIR	<eo:jam_iomete/allerede_lidt> 
LAARIIRSIMA	<eo:jam_ade/allerede_lidt+durativ> 
LI	<eo:sed/part:men> 
LIAASIIT	<eo:sed_kiel_kutime/part:men_som_sædvanlig> 
LIGOOQ	<eo:sed_lauxdire/part:men_siger_man> 
LIK	<eo:havulo/en_som_har> 
LIR	<eo:ek/begynder>
LIRSUI	<eo:izi/forsyner_med>
LIRSUR	<eo:izad/forsyner_den_med_mange> 
LIRTUR	<eo:rapide/hurtigt> 
LISAR	<eo:strebanta_izigxi/stræbende_for_at_forsyne_sig_med> 
LISSA	<eo:ekos/skal+inchoativ> 
#LISSAAQ	<> 
LIUNA	<eo:sed_ege/part:men+augmentativ> 
LIUR	<eo:faras/laver> 
LU	<eo:kaj/og>
LUALIR	<eo:bone_ekas/godt+inchoativ> 
#LUALIRNIQ	<> 
LUAR	<eo:bone/godt> 
LUARIAR	<eo:kutimas_bone/plejer_godt> 
LUARNIAR	<eo:intencas_bone/agter_godt> 
LUGOOQ	<eo:kaj_lauxdire/part:og_siger_man> 
LUINNALIR	<eo:egekas/helt_og_aldeles+inchoativ> 
LUINNAQ	<eo:ege/aldeles> 
LUINNAR	<eo:ege/aldeles> 
LUINNARSIMA	<eo:egadas/aldeles+durativ> 
LUINNARSIMAGALUAR	<eo:jo_egadas/ellers_aldeles+durativ> 
LUINNARSIMAGUNAR	<eo:certe_egadas/vist_nok_aldeles+durativ> 
LUINNARSIMASSA	<eo:versxajne_egas/må_være_aldeles> 
LUINNARUMA	<eo:volas_ege/vil_aldeles> 
LUINNARUMAAR	<eo:certe_egos/skal_nok_aldeles> 
LUINNARUNAR	<eo:certe_ege/vist_nok_aldeles> 
LUMI	<eo:damne_ankaux/sgu_også>
LUMIAASIIT	<eo:damne_kiel_kutime/sgu_og_som_sædvanlig> 
LUUNNIILLI	<eo:aux_sed/eller_men> 
LUUNNIILLU	<eo:kaj_aux/og_eller> 
LUUNNIIMMI	<eo:aux_damne/eller_sgu> 
LUUNNIIT	<eo:aux/eller> 
MI	<sgu> 
MIAASIINNGOOQ	<eo:damne_kiel_kutime_lauxdire/sgu_som_sædvanlig_siger_de> 
MIAASIIT	<sgu_som_sædvanlig> 
MIGOOQ	<sgu_siger_de> 
MIOQ	<eo:en/i-værende>
MITAAVA	<eo:tielege/sgu_så> 
MITAAVAAKU	<eo:tielege_ili/sgu_så_de> 
MITAAVAANA	<eo:tielege_gxi/sgu_så_den> 
MITAAVAMI	<eo:tielege/sgu_så_sgu> 
MIU	<eo:ena/i-værende>
#MIUU	<eo:ulestas/er_en> 
#NAAR	<> 
#NAARUMASAR	<> 
NAR	<eo:kauxzas/medfører> 
NAVIAR	<eo:certe/nok> 
NAVIAR=NNGIT	<eo:apenaux/næppe>
NGAAGUMAAR	<eo:certe_devegas/skal_nok_meget> 
NGAALIR	<eo:egek/meget+inchoativ> 
NGAALIRSIP	<eo:ekigas/får_til_at+inchoativ> 
NGAAR	<eo:ege/meget> 
NGAARALUAR	<eo:ja_ege/ellers_meget> 
NGAARTAR	<eo:kutimegas/plejer_meget> 
NGAASSA	<eo:devegas/skal_meget> 
NGAATSIARIIR	<eo:jam_multete/allerede_relativt_meget> 
NGAJAP	<eo:preskaux/næsten> 
NIAR	<eo:intencas/agter_at>
NIINNALIR	<eo:cxu_nur_ekas/mon_bare+inchoativ> 
NIINNAR	<eo:cxu_nur/mon_bare> 
NIP	<eo:ricevas_novan/får_en_ny> 
NIQ	<eo:ado/det_at>
NIQAR	<eo:atas/passiv> 
NIR	<eo:cxu/mon>
NIRAR	<eo:opinias/mener_at> 
NIRLUP	<eo:malbone/dårligt> 
NIRPAAQ	<eo:plej/superlativ> 
NIRSAQ	<eo:plej/superlativ> 
NIRU	<eo:pli/komparativ> 
NIRULAAR	<eo:iom_pli/lidt_mere> 
NIRULAARIAR	<eo:kutimas_iom_pli/plejer_lidt_mere> 
NIRULIR	<eo:pli_ekas/mere+inchoativ> 
NIRULIRALUAR	<eo:cetere_pli_ekas/ellers_mere+inchoativ> 
NIRULIRSIMA	<eo:ekpliadas/mere+inchoativ+durativ> 
NIRUNNGINNIR	<eo:cxu_ne_pli/mon_ikke_mere> 
NIRUNNGIT	<eo:ne_pli/ikke_mere> 
NIRUQQAJAQE	<eo:emegas_pli/er_meget_tilbøjelig_til_at_mere> 
NIRUSIMASSAGALUAR	<eo:certe_devus_pliadi/burde_ellers_mere+durativ> 
NIRUSSA	<eo:plios/skal_mere> 
#NISSAQ	<> 
NNGIKKALLAR	<eo:ankoraux_ne/ikke_endnu> 
NNGIKKALUAR	<eo_certe_ne/ellers_ikke> 
NNGIKKALUARNIR	<eo:cxu_certe_ne/mon_ellers_ikke> 
NNGILLUINNAR	<eo:tute_ne/slet_ikke> 
NNGILLUINNASSA	<eo:malegos/skal_slet_ikke> 
NNGINNIAR	<eo:malemas/agter_ikke> 
NNGINNIARSINNAA	<eo:malpovas_emi/kan_ikke_agte> 
NNGINNIARSINNAANIR	<eo:cxu_povas_malintenci/mon_kan_ikke_agte> 
NNGINNIARSINNAANNGIT	<eo:povas_malintenci_ne/kan_ikke_agte_at_ikke> 
NNGINNIARTAR	<eo:kutimas_malintenci/plejer_ikke_at_agte> 
NNGINNIARTARTIGE	<eo:kutimegas_malintenci/plejer_i_den_grad_ikke_at_agte> 
NNGINNIARUMAAR	<eo:certe_malintencos/skal_nok_agte_at_ikke> 
NNGINNIASSA	<eo:malintencos/skal_agte_ikke> 
NNGINNIR	<eo:cxu_ne/mon_ikke> 
NNGINNIRAR	<eo:malopinias/mener_ikke> 
NNGINNIRU	<eo:malpli/mindre> 
NNGINNIRUNGAAR	<eo:ege_malpli/meget_mindre> 
#NNGINNISSAQ	<> 
NNGIQE	<eo:ege_ne/meget_ikke> 
NNGIRIIR	<eo:jam_ne/allerede_ikke> 
NNGISAANNAR	<eo:neniam_ne/aldrig_ikke> 
NNGISAANNARSIMA	<eo:neniam_ne-adas/aldrig_ikke+durativ> 
NNGISAANNASSA	<eo:neniam_ne-os/skal_aldrig_ikke> 
NNGIT	<eo:ne/ikke> 
NNGITSUUR	<eo:hazarde_ne/tilfældigvis_ikke> 
NNGITSUURTAR	<eo:kutimas_hazarde_ne/plejer_tilfældigvis_ikke> 
NNGITSUURTARALUAR	<eo:ja_kutimas_hazarde_ne/plejer_ellers_tilfældigvis_ikke> 
NNGITSUURTARNIR	<eo:cxu_kutimas_hazarde_ne/plejer_mon_tilfældigvis_ikke> 
NNGITSUURTIP	<eo:hazardene-igas/får_til_at_tilfældigvis_ikke> 
NNGITSUUSAAR	<eo:sxajnigas_ne/simulerer_at_ikke> 
NNGIVIP	<eo:tute_ne/overhovedet_ikke> 
NNGUAQ	<eo:dolcxulo/en_lille_og_sød> 
NNGUR	<eo:igx/bliver_til>
NNGURTIQQISSA	<eo:reigxigos/skal_igen_få_til_at_blive> 
PAJAAR	<eo:malbonete/halvdårligt> 
PALAAQ	<eo:acxa/en_dårlig> 
PALLAP	<eo:rapide/hurtigt> 
PALUP	<eo:sonas_je/lyder_af> 
PASIP	<eo:similas/ligner> 
PASSUAQ	<eo:grandkvante/en_hel_masse> 
PASSUARIAR	<eo:kutimas_grandkvante/plejer_at_i_massevis> 
QAANNAR	<eo:cxiam_havas/har_altid> 
#QAANNARNIQ	<> 
#QAANNARNISSAQ	<> 
QANNGIT	<eo:malhavas/har_ikke> 
QAR	<eo:havas/har> 
QATIGIILIR	<eo:ekkunagas/gør_sammen+inchoativ> 
QATIGIIP	<eo:kunagas/gør_sammen> 
QATIGIITSIP	<eo:kunagigas/får_til_at_gøre_sammen> 
QATIGIITTAR	<eo:kutimas_kunagi/plejer_at_gøre_sammen> 
QATTAAP	<eo:readagas/gør_den_igen_og_igen> 
QATTAAR	<eo:reade/igen_og_igen> 
QATTAARALUAR	<eo:reade/igen_og_igen> 
QE	<eo:ege/i_høj_grad>
QINA	<eo:emas/der_er_en_risiko_for_at> 
#QITSIAR	<> 
#QITTAR	<eo:rekutimas/plejer_igen> 
QQA	<eo:adas/durativ> 
QQAAR	<eo:unue/først> 
QQAARALLAR	<eo:provizore_unue/foreløbig_først> 
QQAARIAR	<eo:kaj_tiel_unue/og_så_først> 
QQAARSIMA	<eo:unue_adas/først+durativ> 
QQAARSIMANNGIT	<eo:malunue_adas/ikke_først+durativ> 
QQAASSANNGINNIR	<eo:cxu_ne_unue_os/mon_ikke_skal_først> 
QQAJAR	<eo:emas/er_tilbøjelig_til> 
QQILIR	<eo:reekas/igen+inchativ> 
QQINNGI	<eo:malree/ikke_igen> 
QQINNGILLUINNAR	<eo:malreege/aldeles_ikke_igen> 
QQINNGISAANNAR	<eo:neniam_ree/aldrig_igen> 
QQINNGISAANNASSA	<eo:neniam_reos/skal_aldrig_igen> 
QQIP	<eo:ree/igen> 
QQISSA	<eo:reos/skal_igen> 
QQISSAAR	<eo:ege/aldeles>
QQISSAARUMA	<eo:volegas/vil_aldeles> 
QQISSANNGIT	<eo:ege_ne/aldeles_ikke> 
QQISSINNAA	<eo:repovas/kan_igen> 
QQISSINNAASSA	<eo:repovos/skal_kunne_igen> 
QQITSIAR	<eo:remultete/temmelig_meget_igen> 
QQITTAR	<eo:rekutimas/plejer_igen> 
QQITTARIAQAR	<eo:redevas/er_nødt_til_at_igen> 
QQITTARIAQARNIR	<eo:cxu_redevas/er_mon_nødt_til_at_igen> 
QQU	<eo:igigi/få_til_at>
QQUGALUAR	<eo:certe_devigas/pålægger_ellers> 
QQUJARTUQQU	<eo:devigontas/pålægger_at_gå_hen_for_at_pålægge> 
QQUJARTUR	<eo:devigontos/går_hen_for_at_pålægge> 
QQUJUNNAAR	<eo:ekmaldevigas/holder_op_med_at_pålægge> 
#QQUNIQ	<> 
QQUNIQAR	<eo:devigitis/er_blevet_pålagt_at> 
QQUNNGILLUINNAR	<eo:tute_maldevigita/aldeles_ikke_pålagt> 
QQUNNGIT	<eo:maldevigita/ikke_pålagt> 
QQUNNGIVIP	<eo:tute_maldevigita/overhovedet_ikke_pålagt> 
QQUSAR	<eo:kutimas_devigi/plejer_at_pålægge> 
QQUSARALUAR	<eo:ja_kutimas_devigi/plejer_ellers_at_pålægge> 
QQUSI	<eo:malla-devigas/pålægge+htr> 
#QQUSINNGINNIQ	<> 
QQUSINNGIT	<eo:malla-maldevigas/ikke_htr_pålægge> 
QQUSITAR	<eo:kutimas_malla-devigi/plejer_htr_pålægge> 
QQUSIUNNAAR	<eo:certe_malla-devigos/skal_nok_htr_pålægge> 
QQUSSA	<eo:devigos/skal_pålægge> 
QQUTAR	<eo:kutimas_devigi/plejer_at_pålægge> 
RIAAT	<eo:oble/multifold> 
RIAR	<eo:kaj_tiam/og_så> 
RIATAAR	<eo:subite/pludselig> 
RIIAAR	<eo:unu_post_la_alia/den_ene_efter_den_anden> 
RIIR	<eo:jam/allerede>
RIIRSIMA	<eo:jamadas/allerede+durativ> 
RIIRSIMANIR	<eo:cxu_jamadas/mon_allerede+durativ> 
RIIRSIMASSA	<eo:jam_ados/skal_allerede+durativ> 
RIIRSIMASSAGALUAR	<eo:jam_adus/skulle_allerede+durativ> 
RIIRSIP	<eo:jamigas/får_til_at_allerede> 
#RIIRTIPSUB	<> 
RIISSA	<eo:jam_os/skal_allerede> 
RUJUK	<eo:granda/stor> 
RUJUSSUAQINA	<eo:certe_grandega/sandslynligvis_kæmpestor> 
RUJUSSUAR	<eo:grandegigas/gør_voldsomt_stort> 
RUJUSSUARNIAR	<eo:intencas_grandegigi/agter_at_gøre_voldsomt_stort> 
RUJUSSUARTARIAQAR	<ei:devas_grandegigi/er_nødt_til_at_gøre_voldsomt_stort> 
SAR	<eo:strebe_igas/agentativ+dobbeltransitv> 
SARIASSA	<eo:agdevos/skal_så+agentativ> 
SARSIMA	<eo:ag-adas/agentativ+durativ> 
SARSIMAGALUAR	<eo:ja_ag-adas/ellers+agentativ+durativ> 
SARSIMANNGIT	<eo:malag-adas/ikke+agentativ+durativ> 
SARTAR	<eo:agkutimas/plejer_at+agentativ> 
SARTARIAQAR	<eo:agdevas/er_nødt_til_at+agentativ> 
#SARTARIAR	<> 
SI	<eo:nv/køber/vv:bliver>
SIMA	<eo:int/durativ>
SIMAANNAR	<eo:nur_adas/bare+durativ> 
SIMAAR	<eo:estadas/er_vedvarende> 
SIMAGALUAR	<eo:ja_adas/ellers_durativ> 
SIMAJUNNAAQENA	<eo:ekmalademas/der_er_risiko_for_at_holde_op_med+durativ> 
SIMAJUNNAAQQU	<eo:ekmaladigas/pålægger_at_holde_op+durativ> 
SIMAJUNNAAR	<durativ+holder_op_med_at> 
SIMALIR	<durativ+inchoativ> 
SIMALIRNIASSA	<skal_agte+durativ+inchoativ> 
SIMANAR	<medfører+durativ> 
SIMANGAAR	<durativ+meget> 
SIMANIQAR	<durativ+passiv> 
#SIMANIQARNIQ	<> 
#SIMANIQARNISSAQ	<> 
SIMANIR	<eo:eo/int/perfektiv_mon>
SIMANNGIKKALUAR	<durativ+ganske_vist_ikke> 
SIMANNGINNIR	<durativ+mon_ikke> 
SIMANNGISAANNAR	<durativ+aldrig_nogensinde> 
SIMANNGISAANNARSIMA	<durativ+nogensinde+durativ> 
SIMANNGIT	<ikke+durativ> 
SIMAQE	<meget+durativ> 
SIMAQQILIR	<inchoativ+igen+durativ> 
SIMAQQIP	<igen+durativ> 
SIMASARIAQAR	<det_er_nødvendigt+durativ> 
SIMASARIAQARUNAR	<nok_burde_egentlig> 
SIMASARIAQARUNARALUAR	<ellers_nok_bør+durativ>
SIMASINNAA	<kan+durativ>
SIMASINNAAGALUAR	<ellers_kan+durativ>
SIMASINNAAQQU	<pålægger_at_kunne+durativ>
SIMASSA	<skal+durativ>
SIMASSAGALUAR	<ellers_skal_durativ>
SIMASSAGUNAR	<nok_skal+durativ>
SIMASSANNGIKKALUAR	<ellers_ikke_skal+durativ[irrealis]>
SIMASSANNGIT	<ikke_skal+durativ[irrealis]>
SIMATASSA	<skal_pleje_at+durativ[burde]>
SIMATIGE	<så_meget_som+durativ>
SIMATIP	<får_til_at+durativ>
SIMATITSI	<får_til_at+htr+durativ>
SIMATITSIQQU	<pålægger_at+htr+få_til_at+durativ>
SIMAVALLAAR	<alt_for_meget+durativ>
SINIAR	<agter_at_købe> 
SINIARSIMA	<durativ+agter_at_købe>
SINIARSIMAGALUAR	<ellers+durativ+agter_at_købe>
SINNAA	<kan>
SINNAAGALUAR	<ellers_kan>
SINNAAGUMA	<vil_kunne>
SINNAAJUAR	<altid_kan> 
SINNAAJUMAAR	<skal_nok_kunne> 
SINNAAJUNNAAR	<ikke_længere_kan> 
SINNAAJUNNAARSIP	<får_til_at_ikke_længere_at_kunne>
SINNAALIQQU	<pålægger_at+inchoativ+kunne_igen> 
SINNAALIR	<inchoativ+kan> 
SINNAALIRNAVIANNGIT	<næppe+inchoativ+kan> 
SINNAALIRSIMA	<durativ+inchoativ+kan> 
SINNAALIRTIP	<får_til_at+inchoativ+kunne[muliggør]> 
SINNAALLUAR	<godt_kan> 
SINNAANIASSA	<skal_agte_at_kunne> 
SINNAANIR	<mon_kan> 
SINNAANNGIKKALUAR	<ellers_ikke_kunne[irrealis]>
SINNAANNGILLUINNAR	<aldeles_ikke_kan> 
SINNAANNGINNIR	<mon_ikke_kan>
SINNAANNGIT	<ikke_kan> 
SINNAANNGURUMAAR	<eo:jo_povigxos/skal_nok_blive_kunnende>
SINNAAQQU	<pålægger_at_kunne> 
SINNAASAR	<plejer_at_kunne/få_til_at_kunne> 
SINNAASIMA	<durativ+kan> 
SINNAASIMANIR	<mon+durativ+kan>
SINNAASIMANNGINNIR	<mon_ikke+durativ+kan>
SINNAASIMANNGIT	<ikke+durativ+kan>
SINNAASSA	<skal_kunne> 
SINNAASSAGALUAR	<ellers_skal_kunne[irrealis]>
SINNAASSANNGIT	<ikke_skal_kunne> 
SINNAASUAR	<hurtigt_kunne> 
SINNAATIP	<få_til_at_kunne> 
#SINNAATITAQ	<muliggjort> 
SINNAR	<bare[arkaisk]>
SIUMA	<nv:vil_købe/vv:vil_blive> 
SIUMAGALUAR	<nv:men_ellers_vil_købe/vv:men_ellers_vil_blive> 
SIUR	<eo:enumas/færdes_i/blandes_med> 
SSA	<skal> 
SSAGALUAR	<egentlig_skal>
SSANIR	<mon_skal> 
SSANNGIKKALUAR	<ellers_ikke_skal[irrealis]>
SSANNGILLUINNAR	<aldeles_ikke_skal> 
SSANNGINNIR	<mon_ikke_skal> 
SSANNGIT	<ikke_skal> 
SSAQ	<eo:ontajxo-ontulo/som_skal_være>
SSAQE	<meget_skal> 
#SSARSIASSA	<skal_få> 
SSASIMA	<durativ+skal>
SSIP	<eo:izas/forsyner_det_med> 
SSUSIQ	<eo:eco/-hed> 
SSUUTILIR	<inchoativ+forsyner_dem_med_mange> 
SUAQ	<eo:grandulo/en_stor_en> 
SUR	<eo:ade/vedvarende> 
SURE	<tror> 
SURENNGIT	<tror_ikke> 
SURENNGIT=GALUAR	<ellers_tror_egentlig> 
SURENNGIKKALUAR	<tror_egentlig_ikke> 
SURINIQAR	<passiv_tror>
#SUSIIRUTISSIMASSA	<> 
#SUUGALUAR	<ellers_er_den_som>
TAAR	<får_en_ny> 
#TAATIGE	<plejer_igen> 
TALIR	<inchoativ+plejer> 
TALIRTIP	<får_til_at+inchoativ+pleje>
TALIRUMAAR	<skal_nok+inchoativ+pleje>
TALISSA	<skal+inchoativ+pleje>
TALISSANNGIT	<ikke_skal+inchoativ+pleje> 
TANNGIT	<ikke_plejer> 
TAQ	<eo:an/tilhørende>
TAQE	<meget_plejer> 
TAR	<eo:kutimas/plejer> 
TARALUAR	<ellers_plejer> 
TARE	<plejer> 
TARIAQAR	<det_er_nødvendigt> 
TARNIAR	<agter_at_pleje> 
TARNIQAR	<passiv_plejer> 
#TARNIQARNIQ	<> 
#TARNIQARNISSAQ	<> 
TARNIQASSA	<skal_passiv_pleje> 
TARNIR	<mon_plejer> 
TARSIMA	<durativ+plejer> 
TARSIMAGALUAR	<ellers+durativ+plejer> 
TARSIMANNGINNIR	<mon_ikke+durativ+plejer> 
TARSIMANNGIT	<ikke+durativ+plejer> 
TARSIMASSAGUNAR	<nok_skal+durativ+plejer> 
TARSINNAA	<kan_pleje> 
TARSINNAAGALUAR	<ellers_kan_pleje> 
TARSINNAAGUNAR	<nok_kan_pleje> 
TARSINNAAGUNARALUAR	<ellers_nok_skal_pleje> 
TARSINNAANNGIT	<ikke_kan_pleje> 
TARSINNAAQQU	<pålægger_at_kunne_pleje> 
TARSINNAASIMA	<durativ+kunne_pleje> 
TARSINNAASIMAGALUAR	<ellers+durativ+pleje> 
TARSINNAASIMANNGIT	<ikke+durativ+kan_pleje> 
TARUMAAR	<skal_nok_pleje> 
TASSA	<skal_pleje> 
TASSANNGIT	<ikke_skal_pleje> 
TIAAQ	<part:også>
TIGE	<så_meget_som> 
TIKKALUAR	<ellers_få_til_at> 
TIKKIARTUR	<mere_og_mere_få_til_at> 
TIKKIARTUSSA	<skal_mere_og_mere_få_til_at> 
TIKKIARTUSSANNGINNIR	<mon_ikke_skal_mere_og_mere_få_til_at> 
TIKKIARTUSSANNGIT	<ikke_skal_mere_og_mere_få_til_at> 
TIKKUMA	<vil_få_til_at> 
TIKKUMAAR	<skal_nok_få_til_at> 
TIKKUMALLAARE	<narrativ:vil_få_til_at> 
TIKKUMANNGINNIR	<mon_ikke_vil_få_til_at> 
TIKKUMANNGIT	<ikke_vil_få_til_at> 
TILIR	<inchoativ+få_til_at> 
TILLUAR	<godt_få_til_at> 
TILLUARSINNAA	<kan_godt_få_til_at> 
TILLUARSINNAALIR	<inchoativ+kan_godt_få_til_at> 
TILLUINNAR	<aldeles_få_til_at> 
TILLUINNASSA	<skal_aldeles_få_til_at> 
TINGAJALIR	<inhchoativ+næsten_få_til_at> 
TINNGIT	<ikke_få_til_at> 
TINNGITSUUR	<tilfældigvis_ikke_få_til_at> 
TINNIAQQU	<pålægger_at_agte_at_få_til_at> 
TINNIAR	<agter_at_få_til_at> 
TINNIARUMA	<vil_agte_at_få_til_at> 
TINNIQANNGIT	<ikke+passiv+få_til_at> 
TINNIQARALUAR	<ellers+passiv+få_til_at> 
TINNIQARIIR	<allerede+passiv+få_til_at> 
TINNIQARLUAR	<godt+passiv+få_til_at> 
#TINNIQARNIQ	<> 
#TINNIQARNISSAQ	<> 
TINNIQARSIR	<venter_at+passiv+få_til_at> 
TINNIQASSA	<skal_få+passiv+til_at> 
TIP	<eo:igigi/få_til_at>
TIQQAAR	<først_få_til_at> 
TIQQAARNIAR	<agter_først_at_få_til_at> 
TIQQAMMIR	<for_nyligt_fik_til_at> 
TIQQU	<pålægger_at_få_til_at> 
TIRIAR	<så_fik_til_at> 
TIRIIR	<allerede_få_til_at> 
TISSA	<skal_få_til_at> 
TISSANNGINNIR	<mon_ikke_skal_få_til_at> 
