13-skala	«13»skalo
kælling; havets moder/havkvinden	virinacxo; de la maro patrino/Havkvinden
længe; skynd dig !	longe; rapidigxu vin !
læser; går i skole	leganto; iras en lernejo
løber	kuranto
mange; hagl	multaj; hajlo
mellemmand/kontkatperson; formidle	peranto/kontkatperson; peri
mellemrum; time	interspaco; horo
moderat/middelgod	modera/rimedbona
mærkeseddel; attest	siumslipo; atesto
nedad	malsupren
overholder taburegler	supertenas tabureguloj
overleve; mestring, se coping	transvivi; ma(j)stroj, vidi «co»auxtoritatulo
padleåre; brystfinne	padelvejno; brustnagxilo
passer ikke helt til formålet; er af middelstørrelse	tauxg(ig)as ne tute al la celo; estas de rimedgrandeco
pen/kuglepen/fyldepen/skrivekridt,	plumo/globkrajono/fontoplumo/skribkreto,
pjækker fra skolen; har fri fra skole	fiforestas de la lernejo; havas libera de lernejo
retskrivning/ortografi; håndskrift	ortografio/ortografio; manskribo
sejler ud/sejler af sted; rejser til danmark <3)> går ud på dan	sejler eksteren/sejler * <2)> vojagxas al Danio <3)> iras eksteren sur dan
sidder på hug; er på wc/er på toilettet/forretter sin nødtø	sidas kauxre; estas sur necesejo/estas sur la necesejo/plenumas sia nødtø
skilsmisse; en fraskilt <3)> helvedesild	divorco; * divorcita <3)> zostro
skindet på et gevir; bark	la hauxto sur * kornaro; sxelo
skoleferie; skolefridag	lernejferio; lernejferio
slår baghovedet; har fået nok	batas la malantauxkapo; havas ricevis suficxo
sti; hovedsti	pado; cxefpado
styrer	stiras
sundhed administr	saneco administr
svømmer; ror med årens ene blad	flosilo; remas kun de la vejno sola folio
syr en knap i det/2 ) knapper det	kudras * butono en det/2 ) butonumas gxin
sætter sig på hug; er på wc/er på toilettet/forretter sin n	metas sin kauxre; estas sur necesejo/estas sur la necesejo/plenumas sia n
tager et skridt; dykker ned, <3)> kæben er gået af	prenas * pasxo; cefalofo malsupren, <3)> la makzelo estas iris *
tager ham/det med til søs/tager ham/det med ud på havet; tage	prenas lin/gxi kun surmare/prenas lin/gxi kun eksteren sur la maro; preni
tin; bly	stano; plumbo
udstedelse/ikrafttræden/effektuering; autorisation	«udsted»ajxo/ikrafttræden/effektuering; permesilo
1-årig merkantile suppleringsuddannelse	1-årig merkantil «supplering»eduko
spytter blod	kracxas sango
3 . gangsregel	3 . fojregulo
abe/abekat	abe/abekat
aber efter	sedo poste
abnorm	abnorma
abnormitet	anomalio
abonnement	abono
abonnement/det man har abonnement på	abono/gxin oni havas abono sur
abort	aborto
abortere	aborti
aborterer	abortas
abortus	abortus
abrikos	abrikoto
abstinens	abstino
abstrakt	abstrakte
abstraktion	abstraktajxo
absurditet	absurdajxo
AC	AC
accenttegnet for lang konsonant ( i den gamle grønlandske retskrivni	la akcentsigno por longa konsonanto ( en la maljuna grenlanda retskrivni
accenttegnet for lang vokal	la akcentsigno por longa vokalo
accenttegnet for lang vokal plus lang konsonant ( i den gamle grønla	la akcentsigno por longa vokalo plus longa konsonanto ( en la maljuna grønla
accept	akcepto
accept/anerkendelse/billigelse/godkendelse	akcepto/agnosko/konivo/aprobo
accept/bevilling/autorisation/godkendelse/tilladelse	akcepto/koncesio/permesilo/aprobo/koncesio
achillessene	achillessene
acne	acne
a conto	a conto
adamsæble	adampomo
adaptation	adapt-(aci)o
addend	addend
addition	adicio
additiv	additiv
adel	nobelo
adfærd	konduto
adfærdsproblemer	kondutproblemoj
adfærdsterapi	kondutterapio
adfærdsvanskelig	kondutmalfacile
adgang forbudt !/ingen adgang !	aliro malpermesita !/ingen aliro !
adgangsbegrænsning	alirlimigo
adgangsberettiget	alirrajte
adgangsbetingelse	alirkondicxo
adgangseksamen	alirekzameno
adgangsgivende eksamen	alir«givende» ekzameno
adgangsgrundlag	alirbazo
adgangskrav	alirpostulo
ad hoc udvalg	ad hoc komisiono
ad hoc værge	ad hoc kuratoro
adjunkt	adjunkto
adkomst	koncerno
adkomstpapirer	koncernpaperoj
adlyder ham	obeas lin
administration	administracio
administration/administratitive forhold	administracio/administr-it-iva cirkonstanco
administration, dobbelt	administracio, duoble
administration, lovens	administracio, de la legxo
administrationsdirektoratet	administraci«direktorat»
administrationsformer	administraci«former»
administration, sætte under	administracio, meti malpli ol
administration, udgifter til	administracio, elspezoj al
administrativ	administra
administrative forhold	administra cirkonstanco
administrativ frihedsberøvelse	administra liberec«berøvelse»
administrator	administranto
admiral	admiralo
admiralitetsøerne	la «admiralitet»lagoj
adoptant	adoptant
adoption	adopto
adoptivbarn	adoptito
adoptivforældre	adopt«forælder»
adrenalin	adrenalino
adresse	adresoo
adressebeskyttelse	adresoauxspicio
adressekort	adresokarto
adskillelse	disigxo
adspredelse/forlystelse	distrajxo/forlystelse
adspredelse/tidsfordriv	distrajxo/tempopasigo
advarer ham	avertas lin
advarer ham/forbyder ham at ...	avertas lin/malpermesas lin ke ...
advarsel	averto
advektionståge	advektionståge
advent	advento
adventist	adventisto
advis	advis
advisering	«advis»ado
advokat	advokato
advokatsalær	advokatsalajro
adækvat	adekvate
AEB	AEB
AEPS	Aeps
aer det/stryger med hånden hen over det	ae gxi/gladas kun la mano trans gxin
af alle kræfter	de cxiuj fortoj
afasi	afazio
afbetaling	partopago
afbilder det/fotograferer det/fotokopierer det/kopierer det/skr	figuras gxi/fotas gxi/fotkopias gxi/kopias gxi/okazas
afbilder noget/fotograferer/fotokopierer/kopierer/skriver af	figuras io/fotas/fotkopias/kopias/skribas de
afbrud	elrompo
afbrudte elevforløb	el«brudt» lernantokazopaso
afbryde	interrompi
afbrydelse	interrompo
afbryder det	interrompas gxi
afbrænding	bruligo
afdeling/filial	sekcio/filio
afdelingsbestyrelse	sekciestraro
afdeling	sekcio
afdelingsleder	el«delingsleder»
afdrag	partpago
afdragsfrit lån	partpaglibera prunto
afdragsordninger	partpagarangxoj
afdragsordning	partpagarangxo
afdækker det/afslører det	elkovras gxi/malkovras gxin
af en vis alder/én der er kommet lidt op i årene	de * sagxa agxo/unu kiu(j) estas venis iomete supren en la jaroj
affald/skrald	rubo/rubo
affattes således	verkigxas tiel
affekt	affekt
affektionsværdi	«affektion»valor(ajx)o
affektiv	«affekt»*a
affektlabil	«affekt»labila
affolker det	senhomigas gxi
affyrer et kanonskud	lancxas * «kanon»pafo
affyrer et skud	lancxas * pafo
afføringsmiddel	laksigilo
afgangsalder	foriragxo
afgangsbevis	forirpruvo
afgangseksamen	forirekzameno
afgangsklasse	forirklaso
afgangsprøve	forirekzameno
afgift/gebyr	imposto per depago
afgiftstilsvar	impost«tilsvar»
afgrænsning	afgrænsning
afgrøde/grønsager	rikolto/legomoj
afgud	feticxo
afgudsdyrkelse	el«gudsdyrkelse»
afgørelse/resolution/kendelse	verdikto/resolucio/verdikto
afgørende kendetegn	decida karakterizajxo
afhandling	traktajxo
af hele mit hjerte	de tuta mia koro
af hensyn til det/med hensyn til det/på grund af det/vedrørende	de prio al gxi/rilate al gxi/pro gxi/vedrørende
afholdende	okaziganta(j)
afholdendhed	afholdendhed
afholde	okazigi
afholder et møde	okazigas * renkontigxo
afholder retsmøde	okazigas jugxdebato
afholdsmand	abstinulo
afholdspålæg	«afhold»surajxo
afhænde/- lse	elokazi/- lse
afhængefald	dependfalo
afhængig af	dependa de
afhængig	depende
afhængighed	dependeco
Afhængighedsforhold	Afhængighedsforhold
afhøring	el«høring»
afhårer det i lud eller anden væske	el«håre» gxi en lesivo aü alia likvajxo
afkastkonto	rendimentkonto
afkastningsgrad	eljxetgrado
afkast	rendimento
afklippede stumper	detondita stumpe
afkrydsning	elbastardigo
afkøler det	malvarmigas gxi
afkøles	malvarmigigxas
aflastning	el«lastning»
afledte timeplaner	deduktita horaroj
aflejringskegle	adsorbkeglo
afleverer det igen/lader ham/det vende tilbage	transdonas gxi denove/lasas lin/gxin turnigxi re(en)
afliver den efter at den er blevet harpuneret eller skudt	senvivigas gxi post ke gxi estas igxis harpunita aü pafita
afliver det med flere stik med lansen	senvivigas gxi kun pli multaj piko kun la lanco
afluser ham	senpedikigas lin
aflæggelse	el«læggelse»
afløbsrør/nedløbsrør/afløbsrende/rendesten ( - en	defluilo/«nedløb»tubo/defluilfoldo/stratkanaleto ( - onin
aflønning	el«lønning»
afløser ham	alternas lin
afløser ham/efterfølger ham/vikarierer for ham	alternas lin/sinsekvas lin/vikariere por lin
afløser ham/træder i hans sted/er vikar for ham/repræsenterer ha	alternas lin/pasxas en lia(j) loko/estas anstatauxanto por lin/advokatas ha
afmagt	senpovo
afmatning, økonomisk	afmatning, ekonomie
afmærker det/sætter et mærke på det/mærker den/ringmærker den	markas gxi/metas * marko sur gxin/ekrimarkas gxi/ringmærke gxi
afmærkning	elsignado
afmønstring	elrekrutado
aforisme/en dybsindig bemærkning	aforismo/* profundsenhasta rimarko
afpasser det efter noget/tilpasser det til noget	kalibras gxi post io/adaptas gxi al io
afpasset	kalibrita
afpresning	cxantagxo
afregning	elfakturo
afregningskonto	«afregning»konto
afretter den til at trække en slæde/kører den til	dresas gxi al * tiri * sledo/veturas gxi al
afrivningskalender	sxirfolia kalendaro
afrunde	rondigi
afrunding/nedrunde/oprunde	elrondeco/subenrondi/sorrondi
afsats	eltarifo
afsender	adresanto
afsidesliggende	flank«liggende»
af sig selv	de si mem
afsked	adiauxo
afskedigelse	eksigo
afskedigelsesgrund	eksigkialo
afskedigelseskompetance	eksigkompetenteco
afskediger ham/fyrer ham	eksigas lin/maldungas lin
afskediger ham/fyrer ham/ekskluderer ham	eksigas lin/maldungas lin/ekskludas lin
afskrabning	abrazio
afskrift,	elskrib(ajx)o,
afskrivning	deskribo
Afskrivninger	Afskrivninger
afskrivningsprocent	deskribprocento
afslag i købesummen	neo en la acxetsumo
afslag	neo
afslapningsmiddel	«afslapning»rimedo
afslutning/efterskrift	finisxo/postskribo
afslutning	finisxo
afslutte	fini
afsnit/kapitel/del/stykke	parto/cxapitro/parto per peco
afsone	elpentofari
afspænding	malstrecxigxo
afstamning/herkomst/rod	afstamning/deveno/hxaoso
afstand	distanco
afstandsforholdsendelse	afstandsforholdsendelse
afstandsmåling	distanc«måling»
afstandsregler	distancreguloj
afstemning, hemmelig	vocxdono, sekrete
afstemningsdistrikt	vocxdondistrikto
afstemningsleder	vocxdongvidanto
afstemning	vocxdono
afstiver det	elkatizas gxi
afstiver det med barduner	elkatizas gxi kun nurlanugoj
afståelse	abandono
afsætningsmulighed	debitebleco
aftageligt apparatur	el«tagelig» aparataro
aftager	el«tager»
aftale, fælles	interkonsento, komune
aftale, indgå	interkonsento, eneniri
aftale	interkonsento
aftalekonto	interkonsentkonto
aftale/overenskomst/konvention	interkonsento/interkonsento/konvencio
aftale, suspendere	interkonsento, suspendi
aftaletid	el«taletid»
aftapning	elfluigo
afte	afte
aftensang	auxbado
aftenskole	vesperlernejo
aftensmad/middagsmad	vespermangxajxo/tagmangxo
aftenstjernen/planeten venus	la vespera astro/la planedo Venuso
aftenstund	vespertempeto
aften	vespero
aftryk, medicinsk	premsigno, medicine
aftryksske	premsigna
aftrækkeren på et skydevåben	la cxano sur * pafarmilo
afvanding	senakvigo
afvejer det imod noget andet/mener det er omtrent af samme størrel	elpezas gxi kontraux io alia/opinias gxi estas proksimume de sama(j) størrel
afvigelse	aberacio
afvigende	devianta(j)
afvikling af lån	likvido de prunto
afvikling	likvido
afviklingsbestemmelser	likviddestinoj
afviklingsordning	likvidarangxo
afvise	malakcepti
afvisning	refuto
afvæbner ham	senarmigas lin
afvænnen fra bryst	afvænnen de brusto
afvænning	afvænning
Afvænningscenter	Afvænningscenter
afvænningscenteret	la «afvænning»centro
afværgelse	afværgelse
Agenda 21	Agenda 21
agent provocateur	agento provocateur
agentvirksomhed	agententrepreno
agere n	pozi N
agerpadderokke/liden padderokke	kampekviseto/eta ekviseto
aggression	agresemo
aggressivitet	agresemeco
agitation	agitation
agitation/propaganda	agitation/propagando
agiterer/propaganderer	agitas/propagandas
agn/madding/lokkemad	logajxo/madding/allogilo
agnosi	agnosi
agorafobi	agorafobio
agressivitet	«agressiv»eco
agressivitetsdrift	agressivitetsdrift
agronom	agronomo
agter at .../har planer om at .../påtænker at .../har i sinde at ...	estimas ke .../har intencas je ke .../påtænker ke .../har enmense ke ...
agterstavn	postkilo
agtindsigt	agtindsigt
agurk	kukumo
aha-oplevelse	aha-oplevelse
AIDS	AIDS
A-indkomst	A-enspezo
A-indkomst/a-indtægt/a-indkomst	A-enspezo/«A»enspezo per penspezo
a-indtægt	penspezo
ajourføring	«ajour»gvido
ajourføringspligt	«ajourføring»devo
akademi	akademio
akademiker	akademul)o
Akademikernes Centralorganisation i grønland	Akademikernes Centralorganisation en Grenlando
akillessene	akillessene
akklamation	akklamation
akkommodation	akkommodation
akkord	akordo
akkordarbejde	akordlaboro
akkreditere	akrediti
akkumulator	akumulatoro
akkumulere	akumuli
akse	akso
akter	aktoj
aktie	akcio
aktiebesiddelse	akciposedo
aktiekapital	akcikapitalo
aktier, overdragelse af	akcioj, super«dragelse» de
aktieselskab	akcia kompanio
Aktieselskab	Aktieselskab
aktieselskabslov	akcia kompanilegxo
aktieselskabsregister	akcia kompaniregistro
aktietegning	akcidesegnajxo
aktieudbytte	akciprofito
aktieudbytter	akciprofitoj
aktindsigt	aktkompreno
aktionær	akciulo
aktionærkonto	akciulkonto
aktionærlån	akciulprunto
aktiv	aktivo
aktiver	aktivoj
aktivering	aktiv-ado
aktiv fysisk omsorgsvigt	aktiva korpa zorgmalfunkcio
aktivitet	aktiveco
aktivitetsmedarbejder	aktiveckunlaboranto
aktiv lytning	aktiva lytning
aktiv underholdshjælp	aktiva porvivhelpo
aktuel	aktuala
akut	akute
akut behandling	akuta pritraktado
akut delirium	akuta deliro
akut organisk psykosyndrom	akute ta psiksindromo
akut sygdom	akuta malsano
akuttusinani takkuttaraaq dukker op med jævne mellemrum	akuttusinani takkuttaraaq plongxas supren kun glata interspaco
alarm	alarmo
alarmerer ham	alarmas lin
albedo	albedo
albino	albino
albue	kubuto
albueled	kubutartiko
album	albumo
alder/alderdom	agxo/maljuneco
alderdomshjem	maljunulejo
alderdomssvækket	maljunec«svækket»
aldersbetingelse	agxkondicxo
aldersdiabetes	agxdiabeto
aldersgruppering	agx«gruppering»
aldersintegreret	agx«integreret»
aldersintegreret institution	agx«integreret» institucio
alderspension	agxpensi(on)o
Alderspension	Alderspension
aldersrente	agxinterezo
aldersrentebolig	«aldersrente»logxejo
aldersrente/folkepension	agxinterezo per popolpensi(on)o
aldersrentemodtager/aldersrentenyder/folkepensionist	«aldersrente»ricevanto/«aldersrente»«nyder»/popolpensiulo
aldersrentemodtager	«aldersrente»ricevanto
aldersstandardisering	«Alder»«standardisering»
aldrende	aldrende
alene	sole
alen	la -alo
alfonseri/rufferi	prostituistado/ruffero
algebra	algebro
al/hel	cxiu/tuta
alibi	alibio
alk	auxko
alkoholisme	alkoholismo
alkoholmisbrug	alkoholmisuzo
alle er fælles om at .../de overfalder ham alle sammen	cxiuj estas komuna je ke .../de atakas lin cxiuj kune
alle er i kirke	cxiuj estas en pregxejo
allehelgensdag	«allehelgen»tago
alle og enhver/alle der kan krybe og gå	cxiuj kaj cxiu/cxiuj kiu(j) povas rampi kaj iri
allerede nu/fra nu af/i god tid	jam nun/de nun de/en bona tempo
allergi	alergio
allergiker	allergiker
allergisk	alergie
allergisk person	alergia persono
allergisk reaktion	alergia reago
alle sammen/alle som én	cxiuj kune/cxiuj kiel unu
alle/samtlige	cxiuj/cxiuj
alle sover	cxiuj dormas
alle uden undtagelse	cxiuj sen ekscepcio
alle vegne hen/til alle sider	cxie tien/al cxiuj flankoj
alle vegne/overalt	cxie/cxie
allonge	allonge
allround	allround
almene sygeplejerskefunktioner	gxenerala flegistinfunkcioj
almen	gxenerala
almen kirurgi og kirurgiske specialer	gxenerala hxirurgio kaj kirurga specialajxoj
almen linie	gxenerala linio
almen medicin	gxenerala medicino
almen medicin og medicinske specialer	gxenerala medicino kaj medicina specialajxoj
almennyttig	socie
almenvelgørende	gxeneralbonfare
almindelige mennesker	ordinara homoj
almindelig/en eller anden	ordinara/iu
almindelig kjove	ordinara lestro
almindelig	ordinare
almindelig studiekompetence	ordinara «studie»kompetenteco
alpin kombination	alpa kombin-(aci)o
alsidig	cxiuflanke
altan	altano
altan/balkon	altano/balkono
alter	altaro
altergang	altarfojo
alterlys	altarhela
alternativ	alternativo
alternativ behandling	alternativa pritraktado
alt for meget/for voldsomt/overdrevent	troege multo/por furioze/ekstravagance
altid/på alle måder	cxiam/sur cxiuj manieroj
altmuligmand	altmuligmand
altocumulus	altocumulus
altstemme	cxiomvocxo
alveoler	dentalveoloj
alvorligt/ikke kun for sjov	alvorligt/ne nur por amuzo
amatør	amatoro
ambassade	ambasado
ambassadør	ambasadoro
ambivalens	ambivalenco
ambolt	amboso
ambolten	la amboso
ambulance	ambulanco
ambulancetjeneste	ambulancservo
ambulant behandling	ambulant pritraktado
ambulatorium	ambulatorio
amen	amen
ammassæt/lodde	ammassæt/lotumi
ammassætterne er kommet helt ind til stranden	ammassætterne estas venis tute * al la strando
amme	mamnutristino
ammer/giver bryst	mamnutras/okupas brusto
ammunition til patroner	municio al kartocxoj
amnesi	amneso
amnesi, se hukommelsestab	amneso, vidi memorperdo
amning	amning
amortisation	amortisation
amortiserer	amortizas
ampul	ampul
amputation	amputation
amtmand	prefekto
amulet	amuleto
anakronistisk	anakronistisk
anal	anal
analfabetisme	analfabetismo
analog	analoga
analogi/lighed	analogio/-eco
analyse	analizo
analyserende undersøgelse	analizanta(j) ekzameno
anamnese	anamnese
ananas	ananaso
anarki	anarhxio
anatomi	anatomio
anatomi og fysiologi	anatomio kaj fiziologio
anbefale	rekomendi
anbefaler ham noget/henviser ham til at ...	rekomendas lin io/indikas lin al ke ...
anbefaling	referenco
anbringelse	anbringelse
anbringelse i anstalt	anbringelse en institucidomo
anbringelse på ubestemt tid	anbringelse sur nedifinita tempo
anbringelsessted	«anbringelse»loko
anbringelse udenfor hjemmet	anbringelse ekster la hejmo
anbringender	pr«bringende»
anbringer den med bunden opad	lokas gxi kun la fundo supren
anbringer det/sætter det i/sætter det på	lokas gxi/metas gxi en/metas gxi sur
anbringer lokkemad i den	lokas allogilo en gxin
anciennitetstillæg	laboragxaldono
andel	parto
andelsbevis	«andels»pruvo
Andelsboliger	Andelsboliger
andelsboliger	«andels»logxejoj
andelsboligforening	«andels»«boligforening»
Andelsforening	Andelsforening
andelsforening	«andels»unuigxo
andelshaver	partulo
andelsindskud	partdeponajxo
andelskasse	«andels»kaso
Andelsselskab	Andelsselskab
andelsselskab	«andels»societo
anden juledag	alia kristnasktago
anden påskedag	alia pasktago
andenstyrmand	alidirektilisto
anden verdenskrig	alia mondmilito
and	kaj
andrik	viranaso
anekdote	anekdoto
aner ikke hvad han skal gøre/bliver rådvild	divenas ne kio li devas fari/igxas senkonsila
anerkendelse af faderskab	agnosko de patreco
anerkendte trossamfund	agnoskita pakajxarsocio
aner pludselig uråd/bliver pludselig uhyggelig til mode/bliver op	divenas subite mal«råd»/igxas subite terura al modo/igxas supren
aner uråd/er angst	divenas mal«råd»/estas angst
anfald	atako
anfordringskonto	postulkonto
anførselstegn/gåseøjne	«anførsel»signo/anserokuloj
angive	indiki
angriber	atakanto
angriber ham/det	agresas lin/gxin
angst	timego
angående	angående
anholde	aresti
anholdelse	kapto
anholdt	anholdt
anima	anima
animalsk	animalsk
animalske fedtstoffer	animalsk grasmateri(al)oj
animalske produkter	animalsk produktoj
animus	animus
a-niveau &	«A»nivelo &
ankeadgang	apelacialiro
anke	anke
ankefrist	apelacitempolimo
ankeinstans	apelacia kortumo
ankel	maleolo
ankemeddelelse	apelaciavizo
ankenævn/ankeinstans	apelaciinstanco/apelacia kortumo
ankenævn	apelaciinstanco
Ankenævnet	Ankenævnet
Ankenævnet for Uddannelsesstøtte	Ankenævnet for Uddannelsesstøtte
anker	ankro
anker/drittel	apelacias/drittel
ankestævning	apelaciasigno
anklage	akuzo
anklagemyndighed	akuzinstanco
anklager	akuzanto
anklageskrift	prakuzakto
ankylose	ankylose
anledning/årsag	okazo/kialo
anlægge en sag	instali * afero
anlæggelse af kunstig tarmåbning	pr«læggelse» de arta intestaperturo
anlæggelse af åbning til et organ	pr«læggelse» de aperturo al * organo
anlægsaktiviteter	ejaktivecoj
anlægsarbejder	ejlaboristo
anlægsfond	ejfonduso
anlægsplan	ejplano
anlægsudgifter	ejelspezoj
anløber det/anduver det/tager om ad det	aliras gxi/prtangas gxi/prenas * al gxi
anmeldelse	recenzo
anmeldelsespligt	deviga registrigo
anmeldelse, undladelse af	recenzo, undladelse de
anmodning	pr«modning»
anmærkning	rimarko
annonce	anonco
annonce/reklame/lokkemiddel	anonco/reklamo/instigilo
annuitetslån	anuitatprunto
annulleret	nuligita
anonym	anonima
anorak	anorako
anordning	dispono
anoreksi	anoreksio
anorexia nervosa	anorexia nervosa
anpart	parto
anpartsbesiddelse	partposedo
anpartsbevis	partpruvo
anpartshaver	komanditanto
Anpartsselskab	Anpartsselskab
anpartsselskab	partsocieto
anpartsselskabsloven	la «anpartsselskab»legxo
ansat	dungita
ansat indkomst	dungita enspezo
anser det for farligt/er bange for det/er angst for det	rigardias gxi por dangxera/estas timigita por gxin/estas timego por gxin
anser det for farligt	rigardias gxi por dangxera
anser ham/det for at være velegnet	rigardias lin/gxi por * esti adekvata
ansigtlammelse	vizagxparalizo
ansigtskulør/teint	vizagxkoloro/hauxtkoloro
ansigtslammelse	vizagxparalizo
ansigtsparti/forparti	vizagxpart(i)o/forparto
ansigtssmerter	vizagxdolor(ig)as
ansigt	vizagxo
ansjos	ancxovo
anskaffelsespris/- sum	«anskaffelse»prezo/- zum
anskaffer sig noget nyt	acxetas sin iom nova
anskuelse	anskuelse
anskyder det	prpafas gxi
anspændt	prstrecxite
Anstalten for domfældte	Anstalten por Domfældte
Anstalten for domfældte	Anstalten por konviktita
anstaltsbetjent	institucidom«betjent»
anstaltsforsorg	institucidomsubteno
anstaltsleder	institucidomgvidanto
anstrenger sig/bruger alle sine kræfter	sinstrecxas sin/uzas cxiuj siaj fortoj
anstrenger sig så årerne svulmer op	sinstrecxas sin tiel ke la vejnoj sxvelas supren
ansvar/ansvarsområde/noget man er forpligtet til	respondeco/respondecregiono/io oni estas devigita al
ansvarlig	respondece
ansvar/personligt hæftelse/hæfte	respondeco/persone hæftelse/malliberigo
ansvar	respondeco
ansvarsforsikring	kompensdeva asekuro
ansvarsløs	ansvarsløs
ansvarsskade	respondecdamagxo
ansættelse	ansættelse
ansættelse/ansættelsesforhold	ansættelse/dungiteco
ansættelseforhold	«ansættelse»cirkonstanco
ansættelsesbrev	«ansættelse»letero
ansættelse, skattepligtig	ansættelse, impostodeve
ansættelseskrav	«ansættelse»postulo
ansættelsesmyndighed	«ansættelse»instanco
ansættelsesområde/institution	«ansættelse»regiono/institucio
ansættelsesskrivelse	«ansættelse»skribajxo
ansættelsesvilkår	«ansættelse»kondicxo
ansøge	kandidatigxi
ansøger	aspiranto
ansøger om at få et lån/vil gerne låne noget	aspiranto je * ricevi * prunto/volas volonte prunti io
ansøgning	petskribo
ansøgningsfrist	petskribtempolimo
ansøgningsmateriale	petskribmaterialo
ansøgningsskema	petskribleciontabelo
antagelse	supozo
antager menneskeskikkelse	supozas homfiguro
antal/kvotient	nombro/kvociento
antal	nombro
antenne	anteno
antibiotika	antibiotikoj
antigen	antigeno
antikonception	antkoncepcio
antiviral middel	ant«viral» mezume
antropologi	antropologio
antyder det	aludas gxi
antyder noget	aludas io
antydning	pr«tydning»
anvisning	indiko
anæstesi	anestezo
a-overslag	pkostotakso
apatisk	apatie
APK/grønlands Havfiskerisammenslutning	APK/Grønlands Havfiskerisammenslutning
APNAK	Apnak
apostel	apostolo
apostlenes gerninger	de Apostlene Gerninger
apostrof	apostrofo
apotek	apoteko
appel	apelacio
appelindstævnt	apelaci«indstævnt»
appellant	appellant
appelsin	orangxo
appetit	apetito
apportindskud	«apport»deponajxo
apraksi	apraksi
april	aprilo
aprilsnar	aprilsnar
<ApS>	<ApS>
ar	-ado
arbejde/beskæftigelse	laboro/okupo
arbejde	laboro
arbejde med skriftlige opgaver i klassen	laboro kun skriba taskoj en la klaso
